R3 U' F'3 U'; 90-degree Gear Rotation (2)
R3 U' B'3 U3; 90-degree Gear Rotation (2)
R3 U' B'3 U'; 90-degree Gear Rotation (2)
R3 U'3 R3 U; 90-degree Gear Rotation (2)
R3 U'3 R3 U'3; 90-degree Gear Rotation (2)
R3 U'3 R3 F; 90-degree Gear Rotation (2)
R3 U'3 R3 F'3; 90-degree Gear Rotation (2)
R3 U'3 L3 U; 90-degree Gear Rotation (2)
R3 U'3 L3 U'3; 90-degree Gear Rotation (2)
R3 U'3 L3 B; 90-degree Gear Rotation (2)
R3 U'3 L3 B'3; 90-degree Gear Rotation (2)
R3 U'3 F3 U; 90-degree Gear Rotation (2)
R3 U'3 F3 U'3; 90-degree Gear Rotation (2)
R3 U'3 B3 U; 90-degree Gear Rotation (2)
R3 U'3 B3 U'3; 90-degree Gear Rotation (2)
R3 D R3 D; 90-degree Gear Rotation (2)
R3 D R3 D'3; 90-degree Gear Rotation (2)
R3 D R3 B; 90-degree Gear Rotation (2)
R3 D R3 B'3; 90-degree Gear Rotation (2)
R3 D L3 D; 90-degree Gear Rotation (2)
R3 D L3 D'3; 90-degree Gear Rotation (2)
R3 D L3 F; 90-degree Gear Rotation (2)
R3 D L3 F'3; 90-degree Gear Rotation (2)
R3 D F3 D; 90-degree Gear Rotation (2)
R3 D F3 D'3; 90-degree Gear Rotation (2)
R3 D B3 D; 90-degree Gear Rotation (2)
R3 D B3 D'3; 90-degree Gear Rotation (2)
R3 D3 R'3 D3; 90-degree Gear Rotation (2)
R3 D3 R'3 D'; 90-degree Gear Rotation (2)
R3 D3 R'3 F3; 90-degree Gear Rotation (2)
R3 D3 R'3 F'; 90-degree Gear Rotation (2)
R3 D3 L'3 D3; 90-degree Gear Rotation (2)
R3 D3 L'3 D'; 90-degree Gear Rotation (2)
R3 D3 L'3 B3; 90-degree Gear Rotation (2)
R3 D3 L'3 B'; 90-degree Gear Rotation (2)
R3 D3 F'3 D3; 90-degree Gear Rotation (2)
